,Prob. cluster 0,Prob. cluster 1,Prob. cluster 2,Prob. cluster 3,Prob. cluster 4,Prob. cluster 5,Prob. cluster 6,Prob. cluster 7,labels
0,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0
1,0.0,0.0,0.016,0.0,0.0,0.984,0.0,0.0,5
2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
3,0.511,0.0,0.0,0.002,0.487,0.0,0.0,0.0,0
4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,0.0,0.0,0.0,0.061,0.939,0.0,0.0,0.0,4
6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
9,0.542,0.0,0.458,0.0,0.0,0.0,0.0,0.0,0
10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
13,0.0,0.0,0.001,0.0,0.999,0.0,0.0,0.0,4
14,0.971,0.0,0.028,0.0,0.001,0.0,0.0,0.0,0
15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
17,0.0,0.0,0.0,0.443,0.557,0.0,0.0,0.0,4
18,0.0,0.0,0.0,0.002,0.998,0.0,0.0,0.0,4
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
21,0.0,0.0,0.002,0.035,0.963,0.0,0.0,0.0,4
22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
23,0.01,0.0,0.99,0.0,0.0,0.0,0.0,0.0,2
24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
28,0.0,0.0,0.951,0.048,0.001,0.0,0.0,0.0,2
29,0.0,0.0,0.102,0.0,0.0,0.898,0.0,0.0,5
30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
31,0.0,0.0,0.0,0.015,0.985,0.0,0.0,0.0,4
32,0.997,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0
33,0.0,0.0,0.993,0.0,0.0,0.0,0.007,0.0,2
34,0.0,0.0,0.0,0.009,0.991,0.0,0.0,0.0,4
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
38,0.0,0.0,0.0,0.996,0.004,0.0,0.0,0.0,3
39,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
40,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
41,0.997,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
