,Player,FGA,3P%,2P%,FT%,PTS,Height,Tm,PER,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,0-3ft,3-10ft,2P(%FG AST),3P(%FG AST),%FGA(DUNKS),%3PA(CORNERS),10-3P,GP
0,Arron Afflalo 2010,13.3,0.434,0.488,0.735,16.5,196,DEN,10.9,0.426,0.168,3.1,9.9,9.3,1.0,1.0,10.5,14.0,0.258,0.056,0.5429999999999999,0.972,0.012,0.562,0.13,82
1,Alexis Ajinça 2010,17.7,0.0,0.5,0.0,17.7,218,CHA,6.3,0.0,0.1,4.1,11.8,0.0,1.8,2.7,16.1,19.3,0.4,0.2,0.8,0.0,0.1,0.0,0.2,6
2,LaMarcus Aldridge 2010,21.9,0.313,0.498,0.757,26.1,211,POR,18.2,0.014,0.26,8.1,18.6,9.9,1.3,1.3,7.4,22.9,0.247,0.215,0.57,1.0,0.078,0.375,0.262,78
3,Joe Alexander 2010,10.7,0.0,0.2,0.667,7.1,203,CHI,2.8,0.16699999999999998,0.5,7.8,11.3,9.3,1.8,2.6,0.0,11.3,0.5,0.0,0.0,0.0,0.0,1.0,0.16699999999999998,8
4,Malik Allen 2010,12.9,0.16699999999999998,0.409,0.923,11.7,208,DEN,5.9,0.052000000000000005,0.112,9.2,11.5,5.1,1.2,0.8,15.3,14.0,0.198,0.06,0.622,1.0,0.017,0.667,0.345,51
5,Ray Allen* 2010,18.1,0.363,0.556,0.913,24.2,196,BOS,15.2,0.41,0.26,2.0,8.8,12.3,1.2,0.7,10.6,20.2,0.224,0.085,0.643,0.917,0.01,0.28600000000000003,0.14,80
6,Tony Allen 2010,14.9,0.0,0.52,0.605,19.4,193,BOS,14.2,0.02,0.47,7.4,12.5,13.0,3.5,1.7,17.8,19.6,0.64,0.142,0.628,0.0,0.063,0.2,0.0985,54
7,Rafer Alston 2010,19.0,0.322,0.353,0.815,18.0,188,NJN,8.7,0.314,0.195,1.3,10.4,23.1,1.9,0.5,16.9,21.7,0.245,0.188,0.104,0.75,0.0,0.138,0.1265,27
8,Rafer Alston 2010,13.8,0.37,0.341,0.556,13.5,188,MIA,7.7,0.479,0.16,0.7,8.9,16.7,1.9,0.6,15.8,15.4,0.213,0.136,0.16699999999999998,0.9,0.0,0.247,0.08600000000000001,25
9,Lou Amundson 2010,11.9,0.0,0.5529999999999999,0.545,16.0,206,PHO,14.4,0.004,0.446,13.1,19.9,3.7,1.0,4.4,14.7,14.6,0.725,0.159,0.6970000000000001,0.0,0.149,0.0,0.055999999999999994,79
10,Chris Andersen 2010,7.5,0.0,0.573,0.695,13.4,208,DEN,15.8,0.012,0.94,10.1,22.7,2.8,1.3,6.3,14.3,10.8,0.769,0.052000000000000005,0.711,0.0,0.315,0.0,0.0835,76
11,David Andersen 2010,19.5,0.34600000000000003,0.458,0.687,21.0,211,HOU,12.1,0.229,0.197,6.7,20.6,8.1,0.9,1.0,9.1,20.2,0.165,0.185,0.6579999999999999,0.963,0.018000000000000002,0.026,0.21,63
12,Antonio Anderson 2010,10.3,0.0,0.333,0.0,6.9,198,OKC,-1.7,0.0,0.0,7.9,0.0,0.0,0.0,0.0,25.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1
13,Ryan Anderson 2010,22.2,0.37,0.514,0.866,27.9,206,ORL,18.1,0.544,0.211,9.2,16.2,7.1,1.4,1.1,11.7,24.4,0.33,0.034,0.418,0.923,0.039,0.227,0.0465,63
14,Carmelo Anthony 2010,28.9,0.316,0.478,0.83,37.4,203,DEN,22.2,0.125,0.407,6.7,13.1,15.9,1.7,0.9,10.6,33.4,0.362,0.099,0.375,0.847,0.041,0.107,0.208,69
15,Joel Anthony 2010,6.4,0.0,0.478,0.7170000000000001,8.8,206,MIA,10.2,0.0,0.579,11.0,11.1,1.3,0.8,6.7,18.4,8.7,0.604,0.35200000000000004,0.632,0.0,0.214,0.0,0.022,80
16,Gilbert Arenas 2010,27.6,0.348,0.4370000000000001,0.7390000000000001,32.3,191,WAS,18.7,0.294,0.336,1.6,11.6,36.3,1.8,0.6,14.2,31.9,0.203,0.11,0.163,0.508,0.003,0.066,0.1965,32
17,Trevor Ariza 2010,19.4,0.334,0.436,0.649,20.8,203,HOU,13.3,0.407,0.228,3.3,14.7,16.7,2.4,1.1,12.8,21.2,0.329,0.055,0.457,0.846,0.07400000000000001,0.21600000000000005,0.104,72
18,Hilton Armstrong 2010,10.8,0.0,0.38,0.464,11.1,211,NOH,7.5,0.0,0.56,8.2,22.0,9.3,1.7,2.5,17.3,14.4,0.5,0.22,0.8420000000000001,0.0,0.18,0.0,0.14,18
19,Hilton Armstrong 2010,10.9,0.0,0.333,1.0,9.1,211,SAC,8.4,0.0,0.16699999999999998,10.1,18.6,5.0,1.8,5.2,23.7,13.3,0.5,0.25,0.5,0.0,0.25,0.0,0.125,6
20,Hilton Armstrong 2010,21.7,0.0,0.313,0.0,12.8,211,HOU,1.1,0.059,0.118,13.8,3.0,11.5,6.4,0.0,21.9,25.3,0.294,0.294,0.4,0.0,0.118,0.0,0.17600000000000002,9
21,Carlos Arroyo 2010,12.7,0.28,0.489,0.8440000000000001,14.8,188,MIA,12.3,0.067,0.24,1.9,7.7,22.2,1.2,0.3,11.5,13.9,0.115,0.032,0.368,0.7140000000000001,0.0,0.6,0.393,72
22,Darrell Arthur 2010,16.4,0.0,0.434,0.5670000000000001,16.1,206,MEM,10.5,0.006999999999999999,0.205,9.4,18.7,4.9,1.6,2.3,12.1,17.4,0.37,0.219,0.667,0.0,0.068,0.0,0.202,32
23,Chucky Atkins 2010,13.2,0.301,0.417,0.926,13.6,180,DET,8.3,0.465,0.172,0.9,4.8,21.6,1.4,0.0,15.9,14.4,0.166,0.025,0.314,0.818,0.0,0.28800000000000003,0.172,40
24,D.J. Augustin 2010,15.7,0.393,0.381,0.779,18.3,180,CHA,11.2,0.409,0.301,0.9,6.9,21.7,1.6,0.3,13.1,17.9,0.28300000000000003,0.06,0.28600000000000003,0.8290000000000001,0.0,0.208,0.124,80
25,Jeff Ayres 2010,8.8,0.0,0.662,0.9,14.0,206,POR,12.1,0.0,0.308,7.6,22.5,0.4,0.9,3.2,14.0,10.1,0.569,0.215,0.7909999999999999,0.0,0.308,0.0,0.1075,39
