,Unnamed: 0,Unnamed: 0.1,Rk,Player1,Player2,Player3,Player4,Player5,MP,PTS,New PTS,Tm
0,0,0,0,Mike Bibby 2010,Al Horford 2010,Joe Johnson 2010,Josh Smith 2010,Marvin Williams 2010,1171.08,6.0,6.0,ATL
1,1,1,1,Mike Bibby 2010,Jamal Crawford 2010,Al Horford 2010,Joe Johnson 2010,Josh Smith 2010,407.47,11.5,11.5,ATL
2,2,2,2,Jamal Crawford 2010,Al Horford 2010,Joe Johnson 2010,Josh Smith 2010,Marvin Williams 2010,355.27,10.5,10.5,ATL
3,3,3,3,Jamal Crawford 2010,Maurice Evans 2010,Zaza Pachulia 2010,Joe Smith 2010,Jeff Teague 2010,148.49,-2.1,-0.8320914062500004,ATL
4,4,4,4,Jamal Crawford 2010,Maurice Evans 2010,Al Horford 2010,Joe Johnson 2010,Josh Smith 2010,115.34,2.5,2.8972744791666667,ATL
5,5,5,5,Jamal Crawford 2010,Maurice Evans 2010,Joe Johnson 2010,Zaza Pachulia 2010,Josh Smith 2010,89.12,-0.4,1.6870708333333333,ATL
6,6,6,6,Jamal Crawford 2010,Maurice Evans 2010,Zaza Pachulia 2010,Josh Smith 2010,Jeff Teague 2010,82.12,6.8,4.908576041666667,ATL
7,7,7,7,Mike Bibby 2010,Jamal Crawford 2010,Al Horford 2010,Joe Johnson 2010,Marvin Williams 2010,75.36,-11.3,-2.312037500000001,ATL
8,8,8,8,Mike Bibby 2010,Jamal Crawford 2010,Al Horford 2010,Josh Smith 2010,Marvin Williams 2010,68.08,3.4,3.4613145833333334,ATL
9,9,9,9,Jamal Crawford 2010,Joe Johnson 2010,Zaza Pachulia 2010,Josh Smith 2010,Marvin Williams 2010,63.11,-11.7,-1.4995648437499995,ATL
10,10,10,10,Jamal Crawford 2010,Maurice Evans 2010,Zaza Pachulia 2010,Josh Smith 2010,Marvin Williams 2010,53.41,-7.6,0.4086252604166667,ATL
11,11,11,11,Jamal Crawford 2010,Maurice Evans 2010,Zaza Pachulia 2010,Jeff Teague 2010,Marvin Williams 2010,49.36,-12.7,-0.6684645833333334,ATL
12,12,12,12,Jamal Crawford 2010,Maurice Evans 2010,Al Horford 2010,Josh Smith 2010,Marvin Williams 2010,45.16,48.8,14.151113541666666,ATL
13,13,13,13,Jamal Crawford 2010,Maurice Evans 2010,Zaza Pachulia 2010,Joe Smith 2010,Marvin Williams 2010,41.05,-2.7,2.17049609375,ATL
14,14,14,14,Jamal Crawford 2010,Maurice Evans 2010,Joe Johnson 2010,Zaza Pachulia 2010,Joe Smith 2010,40.0,-28.6,-3.1914583333333337,ATL
15,15,15,15,Mike Bibby 2010,Maurice Evans 2010,Al Horford 2010,Josh Smith 2010,Marvin Williams 2010,39.59,7.2,4.25896328125,ATL
16,16,16,16,Mike Bibby 2010,Jamal Crawford 2010,Joe Johnson 2010,Zaza Pachulia 2010,Josh Smith 2010,38.32,1.4,3.0768729166666664,ATL
17,17,17,17,Mike Bibby 2010,Maurice Evans 2010,Al Horford 2010,Joe Johnson 2010,Josh Smith 2010,36.55,2.5,3.305587239583333,ATL
18,18,18,18,Jamal Crawford 2010,Maurice Evans 2010,Al Horford 2010,Joe Johnson 2010,Zaza Pachulia 2010,35.18,42.9,10.7151453125,ATL
19,19,19,19,Jason Collins 2010,Jamal Crawford 2010,Maurice Evans 2010,Randolph Morris 2010,Jeff Teague 2010,27.03,3.5,3.49570390625,ATL
20,20,20,20,Ray Allen* 2010,Kevin Garnett* 2010,Kendrick Perkins 2010,Paul Pierce 2010,Rajon Rondo 2010,1179.13,12.9,12.9,BOS
21,21,21,21,Ray Allen* 2010,Kendrick Perkins 2010,Paul Pierce 2010,Rajon Rondo 2010,Rasheed Wallace 2010,194.08,-1.3,-1.3,BOS
22,22,22,22,Ray Allen* 2010,Kevin Garnett* 2010,Paul Pierce 2010,Rajon Rondo 2010,Rasheed Wallace 2010,181.47,-6.4,-5.8203015625,BOS
23,23,23,23,Ray Allen* 2010,Tony Allen 2010,Kevin Garnett* 2010,Kendrick Perkins 2010,Rajon Rondo 2010,121.51,13.7,10.201199479166666,BOS
24,24,24,24,Ray Allen* 2010,Marquis Daniels 2010,Kevin Garnett* 2010,Kendrick Perkins 2010,Rajon Rondo 2010,108.17,10.9,7.961583854166667,BOS
25,25,25,25,Marquis Daniels 2010,Glen Davis 2010,Michael Finley 2010,Nate Robinson 2010,Rasheed Wallace 2010,86.24,1.5,2.9707250000000003,BOS
26,26,26,26,Ray Allen* 2010,Marquis Daniels 2010,Eddie House 2010,Rasheed Wallace 2010,Shelden Williams 2010,71.48,33.6,15.12654375,BOS
27,27,27,27,Ray Allen* 2010,Kendrick Perkins 2010,Paul Pierce 2010,Rajon Rondo 2010,Brian Scalabrine 2010,66.33,5.2,4.525832812500001,BOS
28,28,28,28,Tony Allen 2010,Kevin Garnett* 2010,Kendrick Perkins 2010,Paul Pierce 2010,Rajon Rondo 2010,57.23,0.0,2.9270359375000004,BOS
29,29,29,29,Marquis Daniels 2010,Eddie House 2010,Paul Pierce 2010,Rasheed Wallace 2010,Shelden Williams 2010,57.06,-19.4,-2.8347093749999983,BOS
30,30,30,30,Ray Allen* 2010,Glen Davis 2010,Kendrick Perkins 2010,Paul Pierce 2010,Rajon Rondo 2010,46.47,-40.3,-6.593129687499999,BOS
31,31,31,31,Ray Allen* 2010,Marquis Daniels 2010,Glen Davis 2010,Rajon Rondo 2010,Rasheed Wallace 2010,40.03,4.9,4.322197395833333,BOS
32,32,32,32,Marquis Daniels 2010,Kevin Garnett* 2010,Kendrick Perkins 2010,Paul Pierce 2010,Rajon Rondo 2010,34.19,4.0,4.139727604166668,BOS
33,33,33,33,Ray Allen* 2010,Glen Davis 2010,Paul Pierce 2010,Rajon Rondo 2010,Rasheed Wallace 2010,32.03,1.6,3.741265104166668,BOS
34,34,34,34,Ray Allen* 2010,Tony Allen 2010,Glen Davis 2010,Eddie House 2010,Rasheed Wallace 2010,31.5,25.3,7.636640625000003,BOS
35,35,35,35,Ray Allen* 2010,Kevin Garnett* 2010,Eddie House 2010,Kendrick Perkins 2010,Rajon Rondo 2010,30.5,4.9,4.285963541666668,BOS
36,36,36,36,Marquis Daniels 2010,Kevin Garnett* 2010,Paul Pierce 2010,Rajon Rondo 2010,Rasheed Wallace 2010,30.24,7.9,4.757475000000001,BOS
37,37,37,37,Ray Allen* 2010,Tony Allen 2010,Kevin Garnett* 2010,Rajon Rondo 2010,Rasheed Wallace 2010,29.2,-4.8,2.8058125000000005,BOS
38,38,38,38,Ray Allen* 2010,Marquis Daniels 2010,Kevin Garnett* 2010,Rajon Rondo 2010,Rasheed Wallace 2010,28.34,41.2,9.635782291666667,BOS
39,39,39,39,Ray Allen* 2010,Glen Davis 2010,Eddie House 2010,Rajon Rondo 2010,Rasheed Wallace 2010,23.55,-12.0,2.1866484375000006,BOS
40,40,40,40,Devin Harris 2010,Jarvis Hayes 2010,Yi Jianlian 2010,Courtney Lee 2010,Brook Lopez 2010,326.11,-3.5,-3.5,NJN
41,41,41,41,Chris Douglas-Roberts 2010,Devin Harris 2010,Yi Jianlian 2010,Courtney Lee 2010,Brook Lopez 2010,206.36,-13.8,-13.8,NJN
42,42,42,42,Devin Harris 2010,Yi Jianlian 2010,Courtney Lee 2010,Brook Lopez 2010,Terrence Williams 2010,191.38,-5.6,-5.6257203125,NJN
43,43,43,43,Josh Boone 2010,Devin Harris 2010,Trenton Hassell 2010,Courtney Lee 2010,Brook Lopez 2010,114.41,1.6,-4.528397656250001,NJN
44,44,44,44,Josh Boone 2010,Chris Douglas-Roberts 2010,Devin Harris 2010,Courtney Lee 2010,Brook Lopez 2010,106.44,-19.5,-16.855215625,NJN
45,45,45,45,Devin Harris 2010,Trenton Hassell 2010,Yi Jianlian 2010,Courtney Lee 2010,Brook Lopez 2010,85.01,-22.4,-17.476788281250002,NJN
46,46,46,46,Keyon Dooling 2010,Chris Douglas-Roberts 2010,Yi Jianlian 2010,Courtney Lee 2010,Brook Lopez 2010,82.06,-11.7,-12.767906770833333,NJN
47,47,47,47,Devin Harris 2010,Jarvis Hayes 2010,Kris Humphries 2010,Courtney Lee 2010,Brook Lopez 2010,58.44,-17.5,-14.762715625000002,NJN
