,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Rk,Player1,Player2,Player3,Player4,Player5,MP,PTS,New PTS,Tm
0,0,0,0,0,DeMarre Carroll 2014,Al Horford 2014,Kyle Korver 2014,Paul Millsap 2014,Jeff Teague 2014,391.35,1.5,1.5,ATL
1,1,1,1,1,Pero Anti? 2014,DeMarre Carroll 2014,Kyle Korver 2014,Paul Millsap 2014,Jeff Teague 2014,297.34,4.5,4.5,ATL
2,2,2,2,2,Elton Brand 2014,DeMarre Carroll 2014,Kyle Korver 2014,Paul Millsap 2014,Jeff Teague 2014,199.42,12.5,12.5,ATL
3,3,3,3,3,Gustavo Ayón 2014,DeMarre Carroll 2014,Kyle Korver 2014,Paul Millsap 2014,Jeff Teague 2014,90.19,6.0,3.17636328125,ATL
4,4,4,4,4,Pero Anti? 2014,DeMarre Carroll 2014,Shelvin Mack 2014,Paul Millsap 2014,Jeff Teague 2014,87.21,-3.0,-0.9942539062499997,ATL
5,5,5,5,5,Elton Brand 2014,Kyle Korver 2014,Paul Millsap 2014,Jeff Teague 2014,Lou Williams 2014,83.59,-8.9,-3.4936158854166663,ATL
6,6,6,6,6,Elton Brand 2014,DeMarre Carroll 2014,Paul Millsap 2014,Jeff Teague 2014,Lou Williams 2014,81.46,9.9,4.5888984375,ATL
7,7,7,7,7,Elton Brand 2014,DeMarre Carroll 2014,Shelvin Mack 2014,Mike Scott 2014,Lou Williams 2014,63.01,-10.1,-2.8611080729166662,ATL
8,8,8,8,8,Elton Brand 2014,DeMarre Carroll 2014,Kyle Korver 2014,Mike Scott 2014,Jeff Teague 2014,62.26,0.3,0.5533984375000003,ATL
9,9,9,9,9,Elton Brand 2014,Kyle Korver 2014,Shelvin Mack 2014,Mike Scott 2014,Lou Williams 2014,60.03,-7.9,-2.00602734375,ATL
10,10,10,10,10,Elton Brand 2014,DeMarre Carroll 2014,Mike Scott 2014,Jeff Teague 2014,Lou Williams 2014,47.05,11.8,3.401204427083333,ATL
11,11,11,11,11,DeMarre Carroll 2014,Al Horford 2014,Cartier Martin 2014,Paul Millsap 2014,Jeff Teague 2014,45.58,-4.6,-0.5772630208333329,ATL
12,12,12,12,12,Elton Brand 2014,DeMarre Carroll 2014,Kyle Korver 2014,Shelvin Mack 2014,Jeff Teague 2014,41.34,18.8,4.5775390625000005,ATL
13,13,13,13,13,DeMarre Carroll 2014,Al Horford 2014,Paul Millsap 2014,Jeff Teague 2014,Lou Williams 2014,40.4,7.6,2.132135416666667,ATL
14,14,14,14,14,Al Horford 2014,Kyle Korver 2014,Paul Millsap 2014,Jeff Teague 2014,Lou Williams 2014,39.42,4.0,1.3576640625000005,ATL
15,15,15,15,15,DeMarre Carroll 2014,Kyle Korver 2014,Paul Millsap 2014,Mike Scott 2014,Jeff Teague 2014,36.15,-20.5,-3.31185546875,ATL
16,16,16,16,16,Pero Anti? 2014,Kyle Korver 2014,Paul Millsap 2014,Jeff Teague 2014,Lou Williams 2014,36.06,-26.9,-4.5039296875,ATL
17,17,17,17,17,Elton Brand 2014,Shelvin Mack 2014,Cartier Martin 2014,Dennis Schröder 2014,Mike Scott 2014,35.59,-17.4,-2.6754648437500004,ATL
18,18,18,18,18,Pero Anti? 2014,DeMarre Carroll 2014,Kyle Korver 2014,Mike Scott 2014,Jeff Teague 2014,33.44,16.2,3.3789375,ATL
19,19,19,19,19,Gustavo Ayón 2014,DeMarre Carroll 2014,Al Horford 2014,Kyle Korver 2014,Jeff Teague 2014,33.16,19.7,3.960776041666666,ATL
20,20,20,20,20,Brandon Bass 2014,Avery Bradley 2014,Jordan Crawford 2014,Jeff Green 2014,Jared Sullinger 2014,373.3,-6.0,-6.0,BOS
21,21,21,21,21,Brandon Bass 2014,Jerryd Bayless 2014,Jeff Green 2014,Kris Humphries 2014,Rajon Rondo 2014,124.23,-17.4,-12.57668203125,BOS
22,22,22,22,22,Brandon Bass 2014,Avery Bradley 2014,Jordan Crawford 2014,Jeff Green 2014,Kris Humphries 2014,106.05,-4.3,-4.04707421875,BOS
23,23,23,23,23,Brandon Bass 2014,Avery Bradley 2014,Jeff Green 2014,Rajon Rondo 2014,Jared Sullinger 2014,82.21,-3.7,-3.7200138020833333,BOS
24,24,24,24,24,Avery Bradley 2014,Jordan Crawford 2014,Jeff Green 2014,Kris Humphries 2014,Jared Sullinger 2014,73.2,0.5,-2.12040625,BOS
25,25,25,25,25,Brandon Bass 2014,Avery Bradley 2014,Jordan Crawford 2014,Vítor Luiz Faverani 2014,Jeff Green 2014,71.09,-3.0,-3.46285859375,BOS
26,26,26,26,26,Brandon Bass 2014,Avery Bradley 2014,Vítor Luiz Faverani 2014,Jeff Green 2014,Gerald Wallace 2014,69.44,-5.9,-4.518008333333333,BOS
27,27,27,27,27,Brandon Bass 2014,Avery Bradley 2014,Jordan Crawford 2014,Jeff Green 2014,Kelly Olynyk 2014,68.35,-4.1,-3.8649361979166654,BOS
28,28,28,28,28,Brandon Bass 2014,Avery Bradley 2014,Jeff Green 2014,Kris Humphries 2014,Rajon Rondo 2014,67.54,-4.4,-3.968927604166667,BOS
29,29,29,29,29,Brandon Bass 2014,Jerryd Bayless 2014,Jeff Green 2014,Rajon Rondo 2014,Jared Sullinger 2014,67.41,-35.0,-14.71194609375,BOS
30,30,30,30,30,Brandon Bass 2014,Jeff Green 2014,Rajon Rondo 2014,Jared Sullinger 2014,Gerald Wallace 2014,67.17,-4.5,-4.0026304687500005,BOS
31,31,31,31,31,Avery Bradley 2014,Jeff Green 2014,Kris Humphries 2014,Rajon Rondo 2014,Jared Sullinger 2014,56.09,1.0,-2.351738802083333,BOS
32,32,32,32,32,Avery Bradley 2014,Jordan Crawford 2014,Jeff Green 2014,Kelly Olynyk 2014,Jared Sullinger 2014,45.29,-5.4,-4.127749218750001,BOS
33,33,33,33,33,Brandon Bass 2014,Avery Bradley 2014,Jeff Green 2014,Kelly Olynyk 2014,Phil Pressey 2014,43.45,21.5,1.975733072916668,BOS
34,34,34,34,34,Brandon Bass 2014,Jeff Green 2014,Phil Pressey 2014,Jared Sullinger 2014,Gerald Wallace 2014,41.4,-24.5,-8.212453125,BOS
35,35,35,35,35,Brandon Bass 2014,Avery Bradley 2014,Jeff Green 2014,Phil Pressey 2014,Jared Sullinger 2014,39.12,8.8,-1.1809937500000005,BOS
36,36,36,36,36,Jeff Green 2014,Chris Johnson 2014,Kelly Olynyk 2014,Phil Pressey 2014,Jared Sullinger 2014,31.56,29.7,1.7608781249999987,BOS
37,37,37,37,37,Vítor Luiz Faverani 2014,Kris Humphries 2014,Courtney Lee 2014,Phil Pressey 2014,Gerald Wallace 2014,31.41,-3.1,-3.63111796875,BOS
38,38,38,38,38,Jeff Green 2014,Chris Johnson 2014,Kelly Olynyk 2014,Rajon Rondo 2014,Jared Sullinger 2014,29.44,3.2,-2.6716333333333333,BOS
39,39,39,39,39,Brandon Bass 2014,Jerryd Bayless 2014,Jeff Green 2014,Jared Sullinger 2014,Gerald Wallace 2014,28.44,-18.1,-5.8628156250000005,BOS
40,40,40,40,40,Joe Johnson 2014,Shaun Livingston 2014,Paul Pierce 2014,Mason Plumlee 2014,Deron Williams 2014,284.18,4.8,4.8,BRK
41,41,41,41,41,Kevin Garnett* 2014,Joe Johnson 2014,Shaun Livingston 2014,Paul Pierce 2014,Deron Williams 2014,129.07,17.8,15.135500612745096,BRK
42,42,42,42,42,Alan Anderson 2014,Kevin Garnett* 2014,Joe Johnson 2014,Shaun Livingston 2014,Paul Pierce 2014,121.1,7.7,8.427680759803923,BRK
43,43,43,43,43,Andray Blatche 2014,Joe Johnson 2014,Shaun Livingston 2014,Paul Pierce 2014,Deron Williams 2014,110.01,8.7,9.114471507352944,BRK
44,44,44,44,45,Andray Blatche 2014,Andrei Kirilenko 2014,Mirza Teletovi? 2014,Jason Terry 2014,Deron Williams 2014,55.08,26.9,14.613275735294115,BRK
45,45,45,45,47,Alan Anderson 2014,Andray Blatche 2014,Shaun Livingston 2014,Mirza Teletovi? 2014,Marcus Thornton 2014,51.52,37.3,17.084480392156866,BRK
46,46,46,46,48,Alan Anderson 2014,Andray Blatche 2014,Joe Johnson 2014,Shaun Livingston 2014,Paul Pierce 2014,49.46,-6.6,5.4792169117647065,BRK
47,47,47,47,49,Alan Anderson 2014,Kevin Garnett* 2014,Joe Johnson 2014,Mirza Teletovi? 2014,Deron Williams 2014,44.55,42.6,17.311240808823527,BRK
