,Unnamed: 0,Rk,Player1,Player2,Player3,Player4,Player5,MP,PTS,New PTS,Tm
0,0,0,Kent Bazemore 2016,Al Horford 2016,Kyle Korver 2016,Paul Millsap 2016,Jeff Teague 2016,890.06,2.7,2.7,ATL
1,1,1,Al Horford 2016,Kyle Korver 2016,Paul Millsap 2016,Thabo Sefolosha 2016,Jeff Teague 2016,233.31,4.2,4.2,ATL
2,2,2,Tim Hardaway Jr. 2016,Al Horford 2016,Dennis Schröder 2016,Mike Scott 2016,Thabo Sefolosha 2016,177.16,19.1,18.056176041666667,ATL
3,3,3,Kent Bazemore 2016,Al Horford 2016,Paul Millsap 2016,Thabo Sefolosha 2016,Jeff Teague 2016,103.12,-8.9,-2.190022916666668,ATL
4,4,4,Kent Bazemore 2016,Al Horford 2016,Kyle Korver 2016,Paul Millsap 2016,Dennis Schröder 2016,72.1,8.6,6.7234401041666665,ATL
5,5,5,Tim Hardaway Jr. 2016,Al Horford 2016,Kyle Korver 2016,Dennis Schröder 2016,Mike Scott 2016,71.54,0.5,3.6965817708333337,ATL
6,6,6,Kyle Korver 2016,Paul Millsap 2016,Mike Muscala 2016,Thabo Sefolosha 2016,Jeff Teague 2016,58.16,13.5,7.9895562500000015,ATL
7,7,7,Kent Bazemore 2016,Paul Millsap 2016,Dennis Schröder 2016,Thabo Sefolosha 2016,Tiago Splitter 2016,55.3,30.7,12.825763020833335,ATL
8,8,8,Kent Bazemore 2016,Al Horford 2016,Kyle Korver 2016,Dennis Schröder 2016,Mike Scott 2016,51.31,4.4,5.275648697916667,ATL
9,9,9,Tim Hardaway Jr. 2016,Kris Humphries 2016,Paul Millsap 2016,Dennis Schröder 2016,Thabo Sefolosha 2016,49.46,2.2,4.720433854166667,ATL
10,10,10,Al Horford 2016,Kyle Korver 2016,Dennis Schröder 2016,Mike Scott 2016,Thabo Sefolosha 2016,45.01,5.4,5.54928671875,ATL
11,11,11,Kent Bazemore 2016,Al Horford 2016,Paul Millsap 2016,Dennis Schröder 2016,Jeff Teague 2016,42.0,-16.3,0.8054687500000006,ATL
12,12,12,Kyle Korver 2016,Paul Millsap 2016,Thabo Sefolosha 2016,Tiago Splitter 2016,Jeff Teague 2016,41.4,-4.7,3.375140625,ATL
13,13,13,Kent Bazemore 2016,Al Horford 2016,Kyle Korver 2016,Mike Scott 2016,Jeff Teague 2016,41.29,25.1,9.789590885416667,ATL
14,14,14,Al Horford 2016,Kyle Korver 2016,Paul Millsap 2016,Dennis Schröder 2016,Thabo Sefolosha 2016,40.51,-11.2,2.051429947916668,ATL
15,15,15,Kent Bazemore 2016,Tim Hardaway Jr. 2016,Al Horford 2016,Dennis Schröder 2016,Mike Scott 2016,40.41,23.8,9.42658359375,ATL
16,16,16,Al Horford 2016,Kyle Korver 2016,Lamar Patterson 2016,Dennis Schröder 2016,Mike Scott 2016,39.17,23.1,9.16620234375,ATL
17,17,17,Kent Bazemore 2016,Kyle Korver 2016,Paul Millsap 2016,Tiago Splitter 2016,Jeff Teague 2016,38.32,6.6,5.79558125,ATL
18,18,18,Kent Bazemore 2016,Kyle Korver 2016,Paul Millsap 2016,Mike Scott 2016,Jeff Teague 2016,35.1,-31.6,-1.2047109374999998,ATL
19,19,19,Kent Bazemore 2016,Kris Humphries 2016,Kyle Korver 2016,Paul Millsap 2016,Jeff Teague 2016,32.17,14.7,7.12056171875,ATL
20,20,20,Avery Bradley 2016,Jae Crowder 2016,Amir Johnson 2016,Jared Sullinger 2016,Isaiah Thomas 2016,721.28,2.7,2.7,BOS
21,21,21,Avery Bradley 2016,Jonas Jerebko 2016,Kelly Olynyk 2016,Marcus Smart 2016,Evan Turner 2016,133.1,23.4,17.775356770833326,BOS
22,22,22,Avery Bradley 2016,Amir Johnson 2016,Jared Sullinger 2016,Isaiah Thomas 2016,Evan Turner 2016,126.42,11.6,9.3678890625,BOS
