,P1,P1C0,P1C1,P1C2,P1C3,P1C4,P1C5,P1C6,PIC7,P2,P2C0,P2C1,P2C2,P2C3,P2C4,P2C5,P2C6,P2C7,P3,P3C0,P3C1,P3C2,P3C3,P3C4,P3C5,P3C6,P3C7,P4,P4C0,P4C1,P4C2,P4C3,P4C4,P4C5,P4C6,P4C7,P5,P5C0,P5C1,P5C2,P5C3,P5C4,P5C5,P5C6,P5C7,Tot prob 0,Tot prob 1,Tot prob 2,Tot prob 3,Tot prob 4,Tot prob 5,Tot prob 6,Tot prob 7,NRating,Rating
0,Mike Bibby 2009ATL,0.0,0.0,0.0,0.002,0.998,0.0,0.0,0.0,Al Horford 2009ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Joe Johnson 2009ATL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Josh Smith 2009ATL,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Marvin Williams 2009ATL,0.52,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.48,0.002,1.998,0.0,0.0,1.0,-4.6,-4.6
1,Mike Bibby 2009ATL,0.0,0.0,0.0,0.002,0.998,0.0,0.0,0.0,Maurice Evans 2009ATL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al Horford 2009ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Joe Johnson 2009ATL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Josh Smith 2009ATL,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.002,1.998,0.0,0.0,1.0,-1.8,-1.8
2,Mike Bibby 2009ATL,0.0,0.0,0.0,0.002,0.998,0.0,0.0,0.0,Al Horford 2009ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Joe Johnson 2009ATL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Ronald Murray 2009ATL,0.001,0.0,0.001,0.0,0.998,0.0,0.0,0.0,Josh Smith 2009ATL,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,1.001,0.002,2.996,0.0,0.0,1.0,14.6,14.6
3,Mike Bibby 2009ATL,0.0,0.0,0.0,0.002,0.998,0.0,0.0,0.0,Joe Johnson 2009ATL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Zaza Pachulia 2009ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Josh Smith 2009ATL,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Marvin Williams 2009ATL,0.52,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.48,0.002,1.998,0.0,0.0,1.0,-3.3,-3.3
4,Mike Bibby 2009ATL,0.0,0.0,0.0,0.002,0.998,0.0,0.0,0.0,Al Horford 2009ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Joe Johnson 2009ATL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Zaza Pachulia 2009ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Marvin Williams 2009ATL,0.52,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.48,0.002,1.998,0.0,0.0,2.0,3.279066666666666,3.0
5,Mike Bibby 2009ATL,0.0,0.0,0.0,0.002,0.998,0.0,0.0,0.0,Maurice Evans 2009ATL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al Horford 2009ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Joe Johnson 2009ATL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Marvin Williams 2009ATL,0.52,0.0,0.48,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.48,0.002,1.998,0.0,0.0,1.0,2.122559895833333,0.8
6,Mike Bibby 2009ATL,0.0,0.0,0.0,0.002,0.998,0.0,0.0,0.0,Maurice Evans 2009ATL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joe Johnson 2009ATL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Zaza Pachulia 2009ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Josh Smith 2009ATL,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.002,1.998,0.0,0.0,1.0,11.251929166666667,16.8
7,Mike Bibby 2009ATL,0.0,0.0,0.0,0.002,0.998,0.0,0.0,0.0,Joe Johnson 2009ATL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Ronald Murray 2009ATL,0.001,0.0,0.001,0.0,0.998,0.0,0.0,0.0,Zaza Pachulia 2009ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Josh Smith 2009ATL,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,1.001,0.002,2.996,0.0,0.0,1.0,18.46945677083333,30.2
8,Maurice Evans 2009ATL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joe Johnson 2009ATL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Ronald Murray 2009ATL,0.001,0.0,0.001,0.0,0.998,0.0,0.0,0.0,Zaza Pachulia 2009ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Josh Smith 2009ATL,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.001,0.0,1.001,0.0,1.998,0.0,0.0,1.0,11.534187499999998,22.3
9,Mike Bibby 2009ATL,0.0,0.0,0.0,0.002,0.998,0.0,0.0,0.0,Al Horford 2009ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Joe Johnson 2009ATL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Ronald Murray 2009ATL,0.001,0.0,0.001,0.0,0.998,0.0,0.0,0.0,Marvin Williams 2009ATL,0.52,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.521,0.0,0.481,0.002,2.996,0.0,0.0,1.0,6.120283854166666,9.8
